course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
2990448,35250644,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,3,Spring,1,2024,35250644,224612712,"3/3/2021BSTJ version of C.ACM Unix paperThe UNIX Time-Sharing System*D. M. Ritchie and K. ThompsonABSTRACTUnix is a general-purpose, multi-user, interactive operating system for the largerDigital Equipment Corporation PDP-11 and the Interdata 8/32 c",2/5/24 21:12,24,21a7756a64eeb674a5501df2c867c79363d132e0,FALSE,https://www.coursehero.com/file/224612712/BSTJ-version-of-CACM-Unix-paperpdf/,BSTJ version of C.ACM Unix paper.pdf,2,,,,1.00001E+14,SuperIronHamster5767,29,0.068965517,3/5/24 10:00,
2990448,35250644,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,3,Spring,1,2024,35250644,224612551,6.033 Spring 2021Lecture #7: Introduction to NetworkingKatrina's favorite lectureKatrina LaCurts | lacurts@mit.edu | 6.033 2021how do modules of a system communicate if they're on separate machines?clientserverClass BrowserClass Server(on machin,2/5/24 21:12,14,13596c3f3e2f3534f07dacaa5e8e7e75bfc551a8,TRUE,https://www.coursehero.com/file/224612551/s07-networkpdf/,s07 network.pdf,2,,,,1.00001E+14,SuperIronHamster5767,29,0.068965517,3/5/24 10:00,2nd rnd (2 cat
2990448,32642127,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,1,Fall,1,2023,32642127,220182371,6.1800 Spring 2023Lecture #19: Distributed Transactionsgetting atomicity across machinesKatrina LaCurts | lacurts@mit.edu | 6.1800 20236.1800 in the newshttps:/www.nytimes.com/interactive/2023/04/19/climate/seaweed-florida-sargassum.html6.1800 in ,12/3/23 11:58,21,b6e81f1177ba7356c39cf1b935e8f209020223a7,TRUE,https://www.coursehero.com/file/220182371/s19pdf/,s19.pdf,3,,,,1.00001E+14,KidThunder10421,93,0.032258065,3/5/24 10:00,3rd rnd (2 cat
2990448,32642127,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,1,Fall,1,2023,32642127,211952032,6.033 systems critique: preparation worksheetPaperMapReduceSummary ofsystem: What is it?What does it do?Does MapReducerespond to aprevious system?What problem issolved byMapReduce?What are themodules of thesystem? How dothey interact?Desig,9/15/23 0:50,3,050de46369ca4758f7916c2bcde7334ab8542cbf,FALSE,https://www.coursehero.com/file/211952032/4c7f271a57d11aabe20056c36c3143fc-MIT6-033S18-Crit2Worksheetpdf/,4c7f271a57d11aabe20056c36c3143fc_MIT6_033S18_Crit2Worksheet.pdf,4,,Assignment,,1.00001E+14,ProfRhinocerosMaster900,172,0.023255814,3/5/24 10:00,
2990448,28859967,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,3,Spring,1,2023,28859967,198315029,"Page 1 of 126.033 Spring 2015, Quiz 1Department of Electrical Engineering and Computer ScienceMASSACHUSETTS INSTITUTE OF TECHNOLOGY6.033 Computer Systems Engineering: Spring 2015Quiz IThere are 16 questions and 12 pages in this quiz booklet. Answer ",4/6/23 15:12,12,0566a863cdc92174fd8374b4d03b0b1a15474b93,TRUE,https://www.coursehero.com/file/198315029/2015-quizpdf/,2015 quiz.pdf,7,,,,1.00001E+14,bjyh2004,334,0.020958084,3/5/24 10:00,
2990448,2990448,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,3,Spring,1,2014,2990448,140499248,"'We Did NothWhy Software Quality MaC A S EA109D I S S E C T I O Nhing Wrong'attersAs software spreads from computers to the engines ofautomobiles to robots in factories to X-ray machinesin hospitals, defects are no longer a problem to bemanage",4/5/22 15:30,16,3ea999ecfcc0f318a31ca176db20796fa069b5ab,FALSE,https://www.coursehero.com/file/140499248/Rec1-We-Did-Nothing-Wrongpdf/,Rec1 - We Did Nothing Wrong.pdf,13,,Other,,1.00001E+14,GeneralWorldMoose15,700,0.018571429,3/5/24 10:00,
2990448,2990448,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,3,Spring,1,2014,2990448,132920450,"2022 6.033 Design Project:Centertown, MA, Cooperative Electric UtilitySee also DP FAQ and DP ErrataDue Dates and DeliverablesThere are five deliverables for this design project:1) DP Prep (DPP): In order to help you prepare with your team design effo",2/28/22 18:44,12,ea3da3c16586706ccc34cd6d850bead471033cf1,FALSE,https://www.coursehero.com/file/132920450/dppdf/,dp.pdf,12,,Notes,,1.00001E+14,ColonelFang343,736,0.016304348,3/5/24 10:00,
2990448,4561617,Computer System Engineering,33,6,418252,424094,Boyd,0,Boyd,424094,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,1,Fall,0,2015,4561617,11830869,"BOS4002 Practical 1BOS4002 Practical 1 Section A: System Center Configuration Manager 2007ObjectivesBy the end of this week, you should be able to do the following: List tasks a systems administrator can perform with System Center Configuration Manage",8/2/15 10:41,16,e239bc439b6064854262734e0878a50c0c77076b,FALSE,https://www.coursehero.com/file/11830869/BOS4002-Practical-Worksheet-1/,BOS4002 Practical Worksheet 1,51,homework,Notes,Homework Help,1.00001E+14,mavmarvin,3138,0.01625239,3/5/24 10:00,Unrelevant (BOS4002
2990448,28859967,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,3,Spring,1,2023,28859967,199319046,"this class used to be numbered 6.033, andran under that number for literal decades(since before I was born!), so please forgivethe sta when we inevitably slip uppronounce this ""six one eighty"" (trust me)6.1800 Spring 2023Lecture #1: Complexity, modu",4/14/23 9:22,58,672f864d401fbcea9d740313852bb4ad4a81a00a,TRUE,https://www.coursehero.com/file/199319046/s01-longpdf/,s01-long.pdf,5,,,,1.00001E+14,ChancellorWater13858,326,0.015337423,3/5/24 10:00,
2990448,2990448,Computer System Engineering,33,6,418252,144593,,0,,144593,1105,https://www.coursehero.com/sitemap/schools/1105-Massachusetts-Institute-of-Technology/courses/2990448-6033/,1105,Massachusetts Institute of Technology,3,Spring,1,2014,2990448,81646544,logo.pdfDepartment of Electrical Engineering and Computer ScienceMASSACHUSETTS INSTITUTE OF TECHNOLOGY6.033 Computer Systems Engineering: Spring 2018Quiz IThere are 15 questions and 11 pages in this quiz booklet. Answer each question according to the,2/21/21 2:45,11,b9887e2b44fa61477e1ce3bb55501d3a794273be,TRUE,https://www.coursehero.com/file/81646544/q18-1pdf/,q18_1.pdf,14,,Test,,1.00001E+14,mintchip9,1108,0.012635379,3/5/24 10:00,
