course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,final_date,diff_days,avg_views
341886,4764755,JAVA,110,CSE,356048,351620,,0,,351620,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,1,Fall,1,2015,4764755,13808518,"CSE 110Fall 2015Last Name (print) _First Name _Arizona State UniversityCSE 110 - Principles of Programming with JavaFall 2015, Midterm IIIMaximum possible points = 100Total Time = 1 hour 15 minutesInstructions:1. This exam is closed book and clos",3/26/16 1:54,10,8f4b9fc6a84e8328f5687956aaf0746fa74649a4,TRUE,FALSE,https://www.coursehero.com/file/13808518/Midterm-3-Solution/,Midterm 3 Solution,1420,test_prep,Test,Test prep,1.00E+14,uryonovs,3/5/24 10:00,2901,0.489486384
341886,1956822,JAVA,110,CSE,356048,467722,Kim,0,Kim,467722,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,1,Fall,1,2012,1956822,9210402,1. Consider the following section from the definition of a class called OfficeBuilding:a. Which members are visible to (accessible from) OfficeBuilding and its subclasses?b. Which members are visible to (accessible from) only the OfficeBuilding class?c,4/14/14 13:10,7,c5a20a32607e4f9890ac9325046163d1be045f11,TRUE,FALSE,https://www.coursehero.com/file/9210402/CSE-110-Review-Problems1/,CSE 110 Review Problems(1),1610,notes,Assignment,Notes,1.00E+14,JosephG31,3/5/24 10:00,3613,0.445613064
341886,2047739,JAVA,110,CSE,356048,1889655,NAVABI,0,NAVABI,1889655,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,4,Summer,1,2014,2047739,14650578,"Exercise WorksheetJava Software SolutionsLoops (with solutions)For exercises 1 to 15, indicate the output that will be produced. Assume the followingdeclarations are made just before each exercise. That is, assume these initializations arein effect a",6/16/16 4:00,7,87f6d48da8219b3084ac9cdb4543ed2ca5eda81f,TRUE,FALSE,https://www.coursehero.com/file/14650578/loopsSolutions/,loopsSolutions,1243,test_prep,Assignment,Test prep,1.00E+14,rafakasp,3/5/24 10:00,2819,0.440936502
341886,2047739,JAVA,110,CSE,356048,1889655,NAVABI,0,NAVABI,1889655,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,4,Summer,1,2014,2047739,14650576,"CSE110 Final Exam Study Guide.The exam will be 50% on objects and classes and 50% on material on exam 1, 2, 3 and 4. Theexam will be approximately 50% multiple choice, 25% code walk-through, and 25% fill in theblank (coding).Content1. Fundamental dat",6/16/16 4:01,1,38884922ceb983f3433d951558111e2ae1125dd1,TRUE,FALSE,https://www.coursehero.com/file/14650576/CSE110-Final-Exam-Study-Guide/,CSE110 Final Exam Study Guide,1068,test_prep,Syllabus,Test prep,1.00E+14,rafakasp,3/5/24 10:00,2819,0.378857751
341886,4764755,JAVA,110,CSE,356048,351620,,0,,351620,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,1,Fall,1,2015,4764755,13808519,"CSE 110Fall 2015Last Name (print) _First Name _Arizona State UniversityCSE 110 - Principles of Programming with JavaFall 2015, Midterm IIMaximum possible points = 100Total Time = 1 hour 15 minutesInstructions:1. This exam is closed book and close",3/26/16 1:54,10,812110f87994fd4a2dfaf93b7fa0dea2555a8b33,TRUE,FALSE,https://www.coursehero.com/file/13808519/Midterm-2-Solution/,Midterm 2 Solution,836,test_prep,Test,Test prep,1.00E+14,uryonovs,3/5/24 10:00,2901,0.288176491
341886,1956822,JAVA,110,CSE,356048,467722,Kim,0,Kim,467722,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,1,Fall,1,2012,1956822,9210405,"Page 1 of 9CSE 110: Principles of Programming with JavaSCIDSE, Arizona State UniversitySample Final ExamYour Name:_Major:(CS/CSE/Other)_Part I - True/ False and Multiple Choice Questions1.) A) Indicate whether the statement is true or false. Each ",4/14/14 13:11,9,56311dc0fff5bf907d8cc024cbd6b21b5f71bab1,TRUE,FALSE,https://www.coursehero.com/file/9210405/SampleFinalExam/,SampleFinalExam,1032,test_prep,Test,Test prep,1.00E+14,JosephG31,3/5/24 10:00,3613,0.285635206
341886,11434909,Java,110,CSE,356048,485970,youshi,0,youshi,485970,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,1,Fall,1,2019,11434909,50625330,/*-/ AUTHOR: MADHAV ARUN SHARMA/ FILENAME: Lab5.java/ SPECIFICATION: Designing Patterns by Loops/ FOR: CSE110 Lab 5/ TIME SPENT: 60 minutes/-*/package assignment;import java.util.Scanner;public class Lab5 {public static void main(String args){f,11/18/19 11:17,3,e72eeba104ed7df5008670948339e9a1f98bce5b,FALSE,FALSE,https://www.coursehero.com/file/50625330/Lab5java/,Lab5.java,404,lab,Code,Lab,1.00E+14,madhavs0108,3/5/24 10:00,1569,0.257488846
341886,4764755,JAVA,110,CSE,356048,351620,,0,,351620,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,1,Fall,1,2015,4764755,12698686,CSE 110 - Lab 4What this Lab Is About: Getting familiar with LOOPS and SWITCH CASE statements Performing arithmetic operations inside the loopProblem Description: Displaying menu options and performing arithmetic operations basedon user choiceFor th,11/17/15 14:58,4,53254c75ec01e10a58af54cb310c9d3158c70d76,TRUE,FALSE,https://www.coursehero.com/file/12698686/CSE-110-Lab-4/,CSE 110 Lab 4,705,lab,Lab,Lab,1.00E+14,uryonovs,3/5/24 10:00,3031,0.232596503
1722748,2029200,Java,110,CSE,356048,485970,youshi,0,youshi,485970,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/1722748-CSE110/,4361,Arizona State University,3,Spring,1,2014,2029200,27600312,CSE 110 Quiz 3 Study Guideb3) Which of the following statements is correct about an if statement?a) You must use braces if the body of an if statement contains only a single statement.b) You can omit an else statement if there is no task defined in th,1/11/18 17:16,17,4c4df1ea25e2a642ff82c36768fe9f91c5ea853d,TRUE,FALSE,https://www.coursehero.com/file/27600312/CSE-110-Quiz-3-Study-Guidedocx/,CSE 110 Quiz 3 Study Guide.docx,504,test_prep,Test,Test prep,1.00E+14,cloudstrikesback,3/5/24 10:00,2245,0.224498886
341886,4764755,JAVA,110,CSE,356048,351620,,0,,351620,4361,,https://www.coursehero.com/sitemap/schools/4361-Arizona-State-University/courses/341886-CSE110/,4361,Arizona State University,1,Fall,1,2015,4764755,12687223,"Underline the valid method headings assuming they existinside a class.public void f( )public void main( String args )private RationalNumber()public double sum( int left, right )public integer String( int n )public double void f2( )public BankAccou",11/16/15 15:20,2,55049363a925e53905ce273dca7263e5a83d3ab5,TRUE,FALSE,https://www.coursehero.com/file/12687223/CSE-110-EXAM-2-CS/,CSE 110 EXAM 2 CS,676,test_prep,Other,Test prep,1.00E+14,dgarv,3/5/24 10:00,3032,0.222955145
