course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_string,user_id,username,final_date,diff_days,avg_views
4426565,4738752,Algorithms,374,CS,4513,253883,CHANDRACHEKURI,0,CHANDRACHEKURI,253883,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/4426565-CS374/,779,"University of Illinois, Urbana Champaign",1,Fall,1,2015,4738752,12936466,"CS 374Lab 23 November 20 SolutionsFall 2015Proving that a problem X is NP-hard requires several steps: Choose a problem Y that you already know is NP-hard. Describe an algorithm to solve Y , using an algorithm for X as a subroutine. Typically this al",12/9/15 22:58,3,b76c1cd76a2e152b946172f147fdeadf116a6bd2,TRUE,FALSE,https://www.coursehero.com/file/12936466/lab23-npc-reductions-sol-v2/,lab23-npc-reductions-sol-v2,1442,lab,Lab,1.00E+14,jcross0204,3/5/24 10:00,3009,0.47922898
4426565,4426565,Algorithms,374,CS,4513,1910352,"Pitt,L",0,"Pitt,L",1910352,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/4426565-CS374/,779,"University of Illinois, Urbana Champaign",3,Spring,1,2015,4426565,11105771,"AlgorithmsLecture 5: Dynamic Programming [Fa14]Those who cannot remember the past are doomed to repeat it. George Santayana, The Life of Reason, Book I:Introduction and Reason in Common Sense (1905)The 1950s were not good years for mathematical resea",4/1/15 11:26,38,8abe0ed5d20986c90861af9bd775c28b55c5a1e5,TRUE,FALSE,https://www.coursehero.com/file/11105771/14-dynprog/,14-dynprog,1391,notes,Notes,1.00E+14,hkim0321,3/5/24 10:00,3261,0.426556271
4426565,4426565,Algorithms,374,CS,4513,1910352,"Pitt,L",0,"Pitt,L",1910352,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/4426565-CS374/,779,"University of Illinois, Urbana Champaign",3,Spring,1,2015,4426565,10857274,CS 374Midterm 2 Combined SolutionsFall 20141. (= conict problem 1) Clearly indicate the edges of the following spanning trees of the weighted graphpictured below.(a) A depth-rst spanning tree rooted at sSolution: There are many many different soluti,2/28/15 16:29,8,0d7ff536f2dad0ee48eb48b69d50806218bb2f19,TRUE,FALSE,https://www.coursehero.com/file/10857274/midterm2sol/,midterm2sol,1166,test_prep,Test prep,1.00E+14,banjopuppet,3/5/24 10:00,3293,0.354084422
4426565,4426565,Algorithms,374,CS,4513,1910352,"Pitt,L",0,"Pitt,L",1910352,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/4426565-CS374/,779,"University of Illinois, Urbana Champaign",3,Spring,1,2015,4426565,11105770,"AlgorithmsLecture 7: Greedy Algorithms [Fa14]The point is, ladies and gentleman, greed is good. Greed works, greed is right.Greed claries, cuts through, and captures the essence of the evolutionary spirit.Greed in all its forms, greed for life, money,",4/1/15 11:26,13,40fd96136bf4ab6826da5777f70f40be6e66a587,TRUE,FALSE,https://www.coursehero.com/file/11105770/17-greedy-note/,17-greedy-note,1149,notes,Notes,1.00E+14,hkim0321,3/5/24 10:00,3261,0.352345906
4426565,4738752,Algorithms,374,CS,4513,253883,CHANDRACHEKURI,0,CHANDRACHEKURI,253883,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/4426565-CS374/,779,"University of Illinois, Urbana Champaign",1,Fall,1,2015,4738752,12961069,"AlgorithmsLecture 40: NP-Hard Problems [Fa14][I]n his short and broken treatise he provides an eternal examplenot of laws, or evenof method, for there is no method except to be very intelligent, but of intelligenceitself swiftly operating the analysis",12/12/15 18:16,29,6c276b21282fe237cdef3c100d4c8f680ad91e8b,TRUE,FALSE,https://www.coursehero.com/file/12961069/40-nphard-2/,40-nphard (2),1057,notes,Notes,1.00E+14,jcross0204,3/5/24 10:00,3006,0.351630073
4426565,4426565,Algorithms,374,CS,4513,1910352,"Pitt,L",0,"Pitt,L",1910352,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/4426565-CS374/,779,"University of Illinois, Urbana Champaign",3,Spring,1,2015,4426565,16452497,"CS 1.Final Exam Solutions (Version B)Fall (a) Which of the following statements is true for every language L cfw_0, 1 ?YesXNoXNoYesXYesL is non-empty.? is a subset of cfw_0, 1 .L is decidable or L is infinite (or both).Every finite languag",10/1/16 20:19,10,525a7dced006038746f88b7a6d605439d920eeb4,TRUE,FALSE,https://www.coursehero.com/file/16452497/Final-Sol-2014-Fall/,Final Sol - 2014 Fall,757,test_prep,Test prep,1.00E+14,panda455,3/5/24 10:00,2712,0.279129794
5061224,5151027,Algorithms,374,CS,4513,142608,,0,,142608,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/5061224-CS374/,779,"University of Illinois, Urbana Champaign",3,Spring,1,2016,5151027,13900366,"CS 374 Lab 14: Dynamic ProgrammingDate: March 9, 2016.1. Its almost time to show off your flippin sweet dancing skills! Tomorrow is the big dance contest youvebeen training for your entire life, except for that summer you spent with your uncle in Alask",4/4/16 17:12,3,e146b973aa4521892a2987d20638db4778921178,TRUE,FALSE,https://www.coursehero.com/file/13900366/lab14Sol/,lab14Sol,766,lab,Lab,1.00E+14,JiayuC1,3/5/24 10:00,2892,0.264868603
4426565,10266909,Algorithm,374,CS,4513,107005,Kalbarczyk,0,Kalbarczyk,107005,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/4426565-CS374/,779,"University of Illinois, Urbana Champaign",3,Spring,1,2019,10266909,12068128,"CS 374: Algorithms and Models of Computation, Spring 2015Final Exam May 8, 2015Name:NetID:#Score1234567TotalMax2010101010101080Grader Please clearly PRINT your name and your NetID in the boxes above. This is a closed-book, closed-",9/15/15 2:00,12,4646c7b36f8bb8eacaaa03bd0993f7067771865e,TRUE,FALSE,https://www.coursehero.com/file/12068128/final-sol/,final-sol,745,test_prep,Test prep,1.00E+14,DukeKingfisherMaster145,3/5/24 10:00,3094,0.240788623
5061224,5151027,Algorithms,374,CS,4513,142608,,0,,142608,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/5061224-CS374/,779,"University of Illinois, Urbana Champaign",3,Spring,1,2016,5151027,14134463,"AlgorithmsLecture 1: Recursion [Fa14]The control of a large force is the same principle as the control of a few men:it is merely a question of dividing up their numbers. Sun Zi, The Art of War (c. 400 C.E.), translated by Lionel Giles (1910)Our life ",4/25/16 21:52,26,cbc28f2b36e0c7461b1a65798d67f3ed3dbea086,TRUE,FALSE,https://www.coursehero.com/file/14134463/01-recursion/,01-recursion,634,notes,Notes,1.00E+14,FenglingW,3/5/24 10:00,2871,0.220828979
4426565,10266909,Algorithm,374,CS,4513,107005,Kalbarczyk,0,Kalbarczyk,107005,779,,https://www.coursehero.com/sitemap/schools/779-University-of-Illinois-Urbana-Champaign/courses/4426565-CS374/,779,"University of Illinois, Urbana Champaign",3,Spring,1,2019,10266909,10364832,CS 374Homework 5 SolutionsFall 20141. Describe and analyze an efcient algorithm to nd the maximum number of style points you can earnduring a given VVR routine. Your input is an array Arrow[1 . n] containing the sequence of arrows.Solution (dynamic p,11/29/14 11:07,5,78b97139b591a0f106803c52090c428c49b1f68e,TRUE,FALSE,https://www.coursehero.com/file/10364832/CS374hw5sol/,CS374hw5sol,713,assignment,Assignment,1.00E+14,xxu46,3/5/24 10:00,3384,0.2106974
