course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
11361059,32354108,1400,1400,CS,78569,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,32354108,211840934,"###############Author:Lanie RompreyPartner:Date:August 27, 2023Course:CS 1400, University of Utah, Kahlert School of ComputingCopyright: CS 1400 and Lanie Romprey - This work may notbe copied for use in Academic Coursework.I, Lanie",9/13/23 17:10,1,8fd5261eefbe29aaf97453e9f50459f8bb9506f0,FALSE,FALSE,https://www.coursehero.com/file/211840934/A1-GradeCalculatorpy/,A1-GradeCalculator.py,0,,Other,,1.00E+14,ConstableMeerkat3570,174,0.16169289,3/5/24 10:00,
11361059,27780612,,1400,CS,78569,142611,,0,,142611,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,27780612,211221333,"# programs to display all the factors of a number# Factors of 6: 1 2 3 6print('Factors of a number')num = int(input(""Enter a number: "")while num &gt; 0:print(""Factors of "", num, end = "": "")for i in range(1, num+1):if num % i = 0:print (i, end = "" "")",9/5/23 19:15,1,303beea5eb8b989fcb2e320baee2933e4f70d3a4,FALSE,FALSE,https://www.coursehero.com/file/211221333/factorspy/,factors.py,0,,Other,,1.00E+14,MajorPenguinMaster916,182,0.16169289,3/5/24 10:00,
11361059,27780612,,1400,CS,78569,142611,,0,,142611,2382,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,27780612,211221331,"#tip calculator# allow the user to enter the cost of the meal# allow the user to enter the service: excellent, good, poor#calculate total cost of the mealprint(""Tip Calculator"")cost = float(input(""enter the cost of your meal: "")service = input(""how ",9/5/23 19:15,1,193a4ca6261dc04e77bdf02088484229c321e6ec,FALSE,FALSE,https://www.coursehero.com/file/211221331/Tip-Calculatorpy/,Tip Calculator.py,0,,Other,,1.00E+14,MajorPenguinMaster916,182,0.16169289,3/5/24 10:00,
11361059,32354108,1400,1400,CS,78569,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,32354108,210787638,"# Assignment A6# CS 1400# Starter code by David Johnson# Assignment completed by Imani Gillo# The multiply function computes the product of two factorsdef multiply(factor1, factor2):product = 0for loop_counter in range(factor2):product += factor1",8/29/23 23:16,2,8e68ebb7c9b1420755a3778506f2debb0082c95f,FALSE,FALSE,https://www.coursehero.com/file/210787638/lab11py/,lab11.py,0,,Other,,1.00E+14,imanigillo,189,0.16169289,3/5/24 10:00,
11361059,32354108,1400,1400,CS,78569,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,32354108,210787575,"# This computes a single row of a multiplication table. It returns a list# that is is [1*row_value, 2 * row_value,.,number_of_columns*row_value].def compute_a_multiplication_table_row(row_value, number_of_columns):row_list = for column_value in range(",8/29/23 23:16,1,b0f454131d25eb2eedfa60bfe5478cb2b00cddc3,FALSE,FALSE,https://www.coursehero.com/file/210787575/Lab7py/,Lab7.py,0,,Other,,1.00E+14,imanigillo,189,0.16169289,3/5/24 10:00,
11361059,32354108,1400,1400,CS,78569,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,32354108,210787563,"from turtle import *# CS 1400 Assignment 2. Written by David Johnson and Imani Gillo# This code, as it is now or after modification, may not be shared or uploaded toany public site.# It may be uploaded to the course approved assignment submission syst",8/29/23 23:16,3,3f72d1796d85f990fab98c74ef74529abb2e1155,TRUE,FALSE,https://www.coursehero.com/file/210787563/TurtleDrawing-1py/,TurtleDrawing (1).py,1,,Other,,1.00E+14,imanigillo,189,0.16169289,3/5/24 10:00,
11361059,32354108,1400,1400,CS,78569,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,32354108,210787557,"#print(name[0:5:2])#print(name[0:len(name):2])#word = input(""enter a word to be reversed: "")#reversed word = 'feihcrekdnah'#for index in range(len(word):#print(word[index])#for letter in word:#print(letterdef reverser(word_to_be_reversed):numbers",8/29/23 23:16,1,97b2f297adb09c3c2487782756bce109d67053fa,FALSE,FALSE,https://www.coursehero.com/file/210787557/lab5py/,lab5.py,3,,Other,,1.00E+14,imanigillo,189,0.16169289,3/5/24 10:00,
11361059,32354108,1400,1400,CS,78569,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,32354108,210787499,Q3.2 Truth table:A B C | x~0 0 0 | 00 0 1 | 00 1 0 | 00 1 1 | 01 0 0 | 01 0 1 | 11 1 0 | 11 1 1 | 1Q4.2 Truth table:C D E | W~0 0 0 | 00 0 1 | 00 1 0 | 00 1 1 | 11 0 0 | 01 0 1 | 11 1 0 | 11 1 1 | 1A B SelectBits[1.0] | X~0 000| ,8/29/23 23:14,2,194a0cfc2ca2c984c7d306dcadc0f27425b7b726,FALSE,FALSE,https://www.coursehero.com/file/210787499/Truth-tablepdf/,Truth table.pdf,0,,Other,,1.00E+14,imanigillo,189,0.16169289,3/5/24 10:00,
11361059,32354108,1400,1400,CS,78569,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,32354108,210787494,"Q1 Translation and execution of programs1. First, you need to have a reduced c program and run it through a compiler (thereduced c compiler)2. This will then produce an assembly language program which you need to runthrough a translator. (the simple c",8/29/23 23:13,2,4b55e79590a87bb655ecd8fa59545c18541701c0,FALSE,FALSE,https://www.coursehero.com/file/210787494/Q1-Translation-and-execution-of-programsdocx/,Q1_Translation_and_execution_of_programs.docx,0,,Other,,1.00E+14,imanigillo,189,0.16169289,3/5/24 10:00,
11361059,32354108,1400,1400,CS,78569,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2382-University-of-Utah/courses/11361059-CS1400/,2382,University of Utah,1,Fall,0,2023,32354108,210787454,package assign07;import static org.junit.jupiter.api.Assertions.*;import org.junit.jupiter.api.Test;/** This class contains tests for the Pixel class.** @author Prof. Martin and ?* @version ?*/public class PixelTest {@Testpublic void testGetRed,8/29/23 23:15,1,ff6830b934386c8d5015ee874770380749b9298f,FALSE,FALSE,https://www.coursehero.com/file/210787454/PixelTestjava/,PixelTest.java,0,,Other,,1.00E+14,imanigillo,189,0.16169289,3/5/24 10:00,
