course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_string,user_id,username
723577,28649120,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2023,28649120,190946058,"CS 21Decidability and TractabilityWinter 2023Solution Set 1Posted: January 18If you have not yet turned in the Problem Set, you should not consult these solutions.1. We need to define a language that has the same computational power as the function ",2/11/23 12:39,3,1e1911fe0f3b46dc56530c887e682e5d4cf0d00b,TRUE,FALSE,https://www.coursehero.com/file/190946058/soln1pdf/,soln1.pdf,2,,,1.00001E+14,BaronSalamanderMaster773
723577,2317175,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2014,2317175,40585020,"AlgorithmsLeonard J. Schulman, schulman@caltech.eduCourse OrganizationCaltech CS38/CS138, Spring 2019Tuesday April 2, 2019Rough syllabus: 1-2 weeks Dynamic Programming. 2 weeks Greedy Algorithms. 1 week Graph Connectivity. 1 lecture Branch and Bound.",4/24/19 3:53,5,a5b2243ce5699768b4130ee430da3a1a8d017020,FALSE,FALSE,https://www.coursehero.com/file/40585020/syllabusandcollabtablepdf/,syllabusandcollabtable.pdf,190,,,1.00001E+14,bb15112321321
723577,2317175,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2014,2317175,28865766,CS 21Decidability and TractabilityWinter 2018Problem Set 4Out: February 7Due: February 14Reminder: you are encouraged to work in groups of two or three; however you must turn in your ownwrite-up and note with whom you worked. You may consult the co,3/3/18 2:17,1,7e01016557b9c5ed87be46fde5a8d660eb576948,FALSE,FALSE,https://www.coursehero.com/file/28865766/ps4pdf/,ps4.pdf,48,,,1.00001E+14,BaronSnow2423
723577,2317175,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2014,2317175,28865760,CS 21Decidability and TractabilityWinter 2018Problem Set 2Out: January 17Due: January 24Reminder: you are encouraged to work in groups of two or three; however you must turn in your ownwrite-up and note with whom you worked. You may consult the cou,3/3/18 2:17,2,a441e120490988512c7e9ed8c76942b2c2d532aa,TRUE,FALSE,https://www.coursehero.com/file/28865760/ps2pdf/,ps2.pdf,83,,,1.00001E+14,BaronSnow2423
723577,2317175,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2014,2317175,28865759,CS 21Decidability and TractabilityWinter 2018Problem Set 5Out: February 14Due: February 21Reminder: you are encouraged to work in groups of two or three; however you must turn in your ownwrite-up and note with whom you worked. You may consult the c,3/3/18 2:17,2,eabd20ca010ffcbf79fb0df611022b3c8a764729,TRUE,FALSE,https://www.coursehero.com/file/28865759/ps5pdf/,ps5.pdf,51,,,1.00001E+14,BaronSnow2423
723577,2317175,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2014,2317175,149984481,CS 21Decidability and TractabilityWinter 2022Problem Set 4Out: February 9Due: February 16Reminder: you are encouraged to work in groups of two or three; however you must turn in your ownwrite-up and note with whom you worked. You may consult the co,5/23/22 1:31,4,309699f9ffd067e6f5054bf55524a5fa70113c08,TRUE,FALSE,https://www.coursehero.com/file/149984481/HW-4pdf/,HW 4.pdf,9,,,1.00001E+14,AdmiralDovePerson554
723577,4443879,Major British Authors,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,2,Winter,0,2015,4443879,13810926,"Outline the class NP 3-SAT is NP-complete (finishing up) NP-complete problems: independent set,vertex cover, clique NP-complete problems: Hamilton path andcycle,Traveling Salesperson ProblemCS21Decidability and TractabilityLecture 20February 23,",3/26/16 12:41,6,002bd75d6d7a3e6b359f65eb0c82740473990309,TRUE,FALSE,https://www.coursehero.com/file/13810926/lec20/,lec20,2,notes,Notes,1.00001E+14,rangaha404
723577,2317175,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2014,2317175,92575495,"CS21Decidability and TractabilityLecture 26March 9, 2020March 9, 2020CS21 Lecture 261Outline challenges to the extended Church-TuringThesis- randomized computation(course summary and review)- quantum computationMarch 9, 2020CS21 Lecture 26",5/10/21 8:51,63,2081b4ba955d7786abeca4796ccdca03cbadc789,TRUE,FALSE,https://www.coursehero.com/file/92575495/lec26pptx/,lec26.pptx,2,,,1.00001E+14,MegaLarkPerson48
723577,2317175,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2014,2317175,92575494,"CS21Decidability and TractabilityLecture 27March 11, 2020March 11, 2020CS21 Lecture 271Outline challenges to the extended Church-TuringThesis- randomized computation- quantum computationMarch 11, 2020CS21 Lecture 272Extended Church-Turin",5/10/21 8:51,28,e557705a4616bf25b16b1f4899599ad0cbfc60ba,FALSE,FALSE,https://www.coursehero.com/file/92575494/lec27pptx/,lec27.pptx,0,,,1.00001E+14,MegaLarkPerson48
723577,2317175,Decidability and Tractability,21,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/723577-CS21/,251,Caltech,3,Spring,1,2014,2317175,92575458,"CS21Decidability and TractabilityLecture 3January 10, 2020January 10, 2020CS21 Lecture 31OutlineNFA, FA equivalenceRegular ExpressionsFA and Regular ExpressionsPumping LemmaJanuary 10, 2020CS21 Lecture 32NFA, FA equivalenceTheor",5/10/21 8:50,35,76f7057a3dd1fdd48e5ee0b1989bb65360e0394e,TRUE,FALSE,https://www.coursehero.com/file/92575458/lec3pptx/,lec3.pptx,1,,,1.00001E+14,MegaLarkPerson48
