course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_string,user_id,username
807916,32431395,Computer Algorithms,138,CS,406215,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/807916-CS138/,251,Caltech,1,Fall,1,2023,32431395,211098293,,2023-09-04 02:35:54,5,d44b1dc56f7907fa2e1624bb2b3b803227f768c9,False,False,https://www.coursehero.com/file/211098293/Dijkstra-Algorithm-Workout-Step-by-Steppdf/,Dijkstra_Algorithm_Workout_Step_by_Step.pdf,0,,,100000871089648,MinisterBook22369
6091189,31819928,Machine Learning and Data Mining,155,CS,92309,1096581,Yue Yisong,0,Yue Yisong,1096581,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/6091189-CS155/,251,Caltech,4,Summer,1,2023,31819928,208527217,"A Quick Tour of Linear Algebra and Optimizationfor Machine LearningMasoud FarivarJanuary 8, 20151 / 28Outline of Part I: Review of Basic Linear AlgebraMatrices and VectorsMatrix MultiplicationOperators and PropertiesSpecial Types of MatricesVec",2023-07-19 09:48:59,28,6f301825b4dabd6b85538ec82522633be85c5049,False,False,https://www.coursehero.com/file/208527217/recitation1-linalg-optimizationpdf/,recitation1_linalg_optimization.pdf,0,,,100000844987521,CorporalGiraffe2206
6091189,31819928,Machine Learning and Data Mining,155,CS,92309,1096581,Yue Yisong,0,Yue Yisong,1096581,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/6091189-CS155/,251,Caltech,4,Summer,1,2023,31819928,208526999,Machine	 Learning	 &amp;	 Data	 Mining	 CS/CNS/EE	 155	 Lecture	 1:	 Administrivia	 &amp;	 Review	 Course	 Info	  Lecture	 (Tu/Th)	 - 2:30pm	 -	 3:55pm	 in	 105	 Annenberg	  RecitaHon	 (W)	 - 5:00pm	 -	 7:00pm	 in	 105	,2023-07-19 09:49:15,55,28691200fc1b189bed927a7cb09fc98bd2d63128,True,False,https://www.coursehero.com/file/208526999/Lecture-01pdf/,Lecture_01.pdf,1,,,100000844987521,CorporalGiraffe2206
443811,29280323,Introduction to Computer Programming,001,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/443811-CS001/,251,Caltech,3,Spring,1,2023,29280323,202306247,Explain the history of development of computers starting from the first generation up to the latestdevelopments?The First Generation:Vacuum Tubes The first generation of computers used vacuum tubes for digital logic elements andmemory. A number of res,2023-05-07 11:34:41,3,e26235efc2b26dff56c358cc8ba01ce57f1082ad,True,False,https://www.coursehero.com/file/202306247/Barbra-s-workdocx/,Barbra s work.docx,0,assignment,Assignment,100000866763967,DeaconIbisPerson872
443811,29280323,Introduction to Computer Programming,001,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/443811-CS001/,251,Caltech,3,Spring,1,2023,29280323,202306050,"1. As a user, I want to be able to keep track of all my assignmentsand deadlines in one place, so that I can stay organized andavoid missing any deadlines.Summary:This user story describes a user who needs to manage theirassignments and deadlines. Th",2023-05-07 11:37:31,3,7954190627c01319be212b88c07cbe4ea9cb96f7,False,False,https://www.coursehero.com/file/202306050/As-a-userdocx/,As a user.docx,2,assignment,Assignment,100000866763967,DeaconIbisPerson872
443811,29280323,Introduction to Computer Programming,001,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/443811-CS001/,251,Caltech,3,Spring,1,2023,29280323,202305784,"2(a) Some of the major issues related to multiprocessor and multicore scheduling in the CPU are:Load Balancing: In multiprocessor and multicore systems, it is essential to balance the loadamong processors or cores to achieve maximum efficiency. Load bal",2023-05-07 11:33:03,2,e43366c43b3b321bca04a3330239590732864aba,False,False,https://www.coursehero.com/file/202305784/OS-work-2a-and-2bdocx/,OS work 2a and 2b.docx,0,assignment,Assignment,100000866763967,DeaconIbisPerson872
443811,29280323,Introduction to Computer Programming,001,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/443811-CS001/,251,Caltech,3,Spring,1,2023,29280323,202305721,Josef Schumpeter was an Austrian economist and writer who is known for his theories on innovationand economic development. He was born in 1883 in the Austrian empire and studied law andeconomics in Vienna. Despite trying his hand at business and politic,2023-05-07 11:33:45,1,2684cf96cb92045d33d57afe5cdd270658b3e83a,False,False,https://www.coursehero.com/file/202305721/Fagerberg-Josef-Schumpeterdocx/,Fagerberg- Josef Schumpeter.docx,0,assignment,Assignment,100000866763967,DeaconIbisPerson872
443811,29280323,Introduction to Computer Programming,001,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/443811-CS001/,251,Caltech,3,Spring,1,2023,29280323,202305520,PROJECT MONITORING AND CONTROLProject monitoring and control involves regularly reviewing and evaluating the progress of a systemanalysis and design project to ensure that it is on track to meet its goals and objectives.The project manager and the proj,2023-05-07 11:31:57,1,6764541e9d2ff109e57317345b6a313acc4bfefb,False,False,https://www.coursehero.com/file/202305520/Project-monitoring-and-controldocx/,Project monitoring and control.docx,0,assignment,Assignment,100000866763967,DeaconIbisPerson872
443811,29280323,Introduction to Computer Programming,001,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/443811-CS001/,251,Caltech,3,Spring,1,2023,29280323,193942656,Introduction a JavaScriptUniversity of Illinois at Urbana-Champaign012Table des mati eres1 Intro duction1.1 JavaScript est utilis e co^t e client . . . . . . . . . . . . . . . . . . . . .1.2 JavaScript est interpr et e . . . . . . . . . . . . . ,2023-03-05 12:41:41,56,d7017b41919a8fbae54e6cba413e3b0f47793abc,True,False,https://www.coursehero.com/file/193942656/cours-JavaScriptpdf/,cours JavaScript.pdf,3,notes,Notes,100000863379459,CommodoreHeatScorpion34
443811,29280323,Introduction to Computer Programming,001,CS,92309,194748,,0,,194748,251,https://www.coursehero.com/sitemap/schools/251-Caltech/courses/443811-CS001/,251,Caltech,3,Spring,1,2023,29280323,193941502,"INTRODUCTION AUX FEUILLES DE STYLEPrincip eIl est par exemple possible de ne dcrire que la structure d'un document en HTML :&lt;html&gt;&lt;head&gt;&lt;title&gt;Un titre de document&lt;/ &gt; title&lt;link rel=""stylesheet"" type=""text/css"" href=""feuille.css""&lt;/head&gt;&lt;body&gt;&lt;",2023-03-05 12:36:07,19,0cff29f4bf5eb3a2c09b2b48a370fea5b1cb7014,False,False,https://www.coursehero.com/file/193941502/cours-csspdf/,cours-css.pdf,1,notes,Notes,100000863379459,CommodoreHeatScorpion34
