course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
627277,4936508,,235,EE,4251,97461,,0,,97461,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,2,Winter,0,2016,4936508,13700700,"University of WashingtonDepartment of Electrical EngineeringEE 235 Lab 5:Time Domain to Frequency DomainIn this lab, we will learn how to transform signals in Matlab from the time domain to thefrequency domain. In addition, we use will Matlab to iden",3/12/16 15:03,15,7a8e205374757beb0b56dc96de662ef93d7b7795,TRUE,FALSE,https://www.coursehero.com/file/13700700/Lab5/,Lab5,369,lab,Lab,1.00001E+14,evelynjiaji,2915,0.126586621,3/5/24 10:00,
627277,9668951,,235,EE,4251,97461,,0,,97461,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,1,Fall,0,2019,9668951,37410497,"EE 235 Lab 2University of Washington ECE DepartmentEE 235 Lab 2 - Time Transformations of SignalsIn this lab, you will work through a series of exercises to perform transformations on continuoustime signals and get comfortable with relevant Python func",2/1/19 1:54,7,fc16d69659c05913e9643135f2d2bba0e59bfc7c,FALSE,FALSE,https://www.coursehero.com/file/37410497/Lab2pdf/,Lab2.pdf,228,lab,Lab,1.00001E+14,adil2000,1859,0.122646584,3/5/24 10:00,
627277,4936508,,235,EE,4251,97461,,0,,97461,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,2,Winter,0,2016,4936508,13700706,"University of WashingtonDepartment of Electrical EngineeringEE 235 Lab 2Continuous-Time Signals and Transformations in TimeIn this lab, we will use Matlab to perform transformations in time on continuous-time signals.We will also introduce students t",3/12/16 15:06,14,8e834ba9b22c849e3c3866e7836d7671ecb43623,TRUE,FALSE,https://www.coursehero.com/file/13700706/Lab2/,Lab2,331,lab,Lab,1.00001E+14,evelynjiaji,2915,0.1135506,3/5/24 10:00,
627277,4936508,,235,EE,4251,97461,,0,,97461,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,2,Winter,0,2016,4936508,13700705,"University of WashingtonDepartment of Electrical EngineeringEE 235 Lab 3:Unit Impulse and Continuous-Time LTI SystemsIn this lab, we will investigate unit impulses and its significance and usage in LTI systems. Inparticular, we will revisit the time ",3/12/16 15:06,14,e04b8b7e4747d749ba1713c7339ff1cb4bf958e9,TRUE,FALSE,https://www.coursehero.com/file/13700705/Lab3/,Lab3,318,lab,Lab,1.00001E+14,evelynjiaji,2915,0.109090909,3/5/24 10:00,
627277,4936508,,235,EE,4251,97461,,0,,97461,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,2,Winter,0,2016,4936508,13700699,"University of WashingtonDepartment of Electrical EngineeringEE 235 Lab 6:Applications of Fourier TransformsIn this lab (final lab, yay!), we will investigate two important Fourier Transform applications:filtering and modulation. We will apply both of",3/12/16 15:03,18,c2fa31eefa243d5e20cce3e23b265c877d5836bc,TRUE,FALSE,https://www.coursehero.com/file/13700699/Lab6/,Lab6,300,lab,Lab,1.00001E+14,evelynjiaji,2915,0.102915952,3/5/24 10:00,
627277,4936508,,235,EE,4251,97461,,0,,97461,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,2,Winter,0,2016,4936508,13700701,"University of WashingtonDepartment of Electrical EngineeringEE 235 Lab 4ConvolutionIn this lab, we will expand on what we did in the last lab on convolution. In particular, we willlearn how convolution can be used to decode transmitted messages in di",3/12/16 15:03,14,60bdb5eb9c93407fcb1bd212dfc3ed04b53d5b7c,TRUE,FALSE,https://www.coursehero.com/file/13700701/Lab4/,Lab4,282,lab,Lab,1.00001E+14,evelynjiaji,2915,0.096740995,3/5/24 10:00,
627277,1956149,Linear Continuous Time Systems,235,EE,4251,466725,TaiChangChen,0,TaiChangChen,466725,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,3,Spring,0,2013,1956149,16430137,"module DE1_SoC (CLOCK_50, HEX0, KEY, LEDR, SW);input CLOCK_50; / 50MHz clock.output [6:0] HEX0;output [9:0] LEDR;input [3:0] KEY; / True when not pressed, False when pressedinput [9:0] SW;/ Hook up FSM inputs and outputs.wire reset;wire [3:0]w;wi",9/30/16 15:13,29,f1352c79e04f73e57284b29763498aaccc561d75,FALSE,FALSE,https://www.coursehero.com/file/16430137/lab-6/,lab 6,250,lab,Lab,1.00001E+14,zhangwy9,2713,0.092148913,3/5/24 10:00,
627277,4621493,Linear Continuous Time Systems,235,EE,4251,466725,TaiChangChen,0,TaiChangChen,466725,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,1,Fall,0,2015,4621493,12589167,"University of WashingtonDepartment of Electrical EngineeringEE 235 Lab 3:Unit Impulse and Continuous-Time LTI SystemsIn this lab, we will investigate unit impulses and its significance and usage in LTI systems. Inparticular, we will revisit the time ",11/6/15 5:18,14,0a87e6933069a0831085a746518bc8d0e74b2fe9,TRUE,FALSE,https://www.coursehero.com/file/12589167/Lab3-Fall-2015/,Lab3 Fall 2015,200,lab,Lab,1.00001E+14,chiahan,3042,0.06574622,3/5/24 10:00,
627277,10076152,Linear Continuous Time Systems,235,EE,4251,466725,TaiChangChen,0,TaiChangChen,466725,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,3,Spring,0,2019,10076152,38492667,"EE 235 Lab 5University of Washington ECE DepartmentEE 235 Lab 5 - Time Domain to Frequency DomainRead 'Lab-background.pdf' first.In this lab, we learn how to transform signals from the time domain to the frequency domain andidentify the frequencies o",3/2/19 11:51,5,4cb17233705b4c75949488dc12b7bdec911b7064,TRUE,FALSE,https://www.coursehero.com/file/38492667/Lab5pdf/,Lab5.pdf,109,lab,Lab,1.00001E+14,chaofd,1830,0.059562842,3/5/24 10:00,
627277,4936508,,235,EE,4251,97461,,0,,97461,2505,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/627277-EE235/,2505,University of Washington,2,Winter,0,2016,4936508,13700697,"EE235Name:Student ID:Midterm Exam #2University of Washington EE235, Winter 2016February 26th, 2016Exam Information: The test is closed book, and no calculators/devices are allowed. You are allowed ONE 8.5x11 (twosided) page of notes. Please show a",3/12/16 15:02,7,573bd29a1e04af22f923a7ead768d6be43854b23,TRUE,FALSE,https://www.coursehero.com/file/13700697/midterm2-w16-soln/,midterm2_w16_soln,166,test_prep,Test prep,1.00001E+14,evelynjiaji,2915,0.056946827,3/5/24 10:00,
