course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_string,user_id,username
32722396,32722396,550,550,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722396-EE550/,2505,University of Washington,1,Fall,0,2023,32722396,212294016,"EE 550: Lecture 2Michael J. Neely(mikejneely@gmail.com)University of Southern CaliforniaThursday Jan. 12, 2023Last timeI Selected probability reviewI MAC modelI Jain fairness indexI Round robin and Slotted AlohaI Renewal theory and k-slot captu",2023-09-18 22:38:30,34,d1ad178008ea890a8d0a51fbc1f95295d4457577,True,False,https://www.coursehero.com/file/212294016/lecture2-slidespdf/,lecture2-slides.pdf,0,,,100000852029357,SuperHumanLarkPerson613
32722396,32722396,550,550,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722396-EE550/,2505,University of Washington,1,Fall,0,2023,32722396,212293963,"EE 550: Lecture 1Michael J. Neely(mikejneely@gmail.com)University of Southern CaliforniaTuesday Jan. 10, 2023VHE 214Course info1. Instructor:I Michael J. NeelyI EEB 520 (mikejneely@gmail.com, put ""EE 550"" in subject)I Office hours Tu/Th 10:00-1",2023-09-18 22:38:30,38,526ff1416a355b018774004c12fb9eed3431d747,False,False,https://www.coursehero.com/file/212293963/lecture1-slidespdf/,lecture1-slides.pdf,1,,,100000852029357,SuperHumanLarkPerson613
32722660,32722660,503,503,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722660-EE503/,2505,University of Washington,1,Fall,0,2023,32722660,212293755,"EE 503 - Fall 2022Home Work 7Due date: Monday, Oct 24, 11:59 pm PDT(Please submit on the DEN website.)1. (8 points) Leon Garcia Book problem 4.54a-b.tion).(See table 4.1 of the text book for Laplacian distribu-a)By - [ "" g@)fx (0)de[ Capx[ px@ar",2023-09-18 22:41:32,4,c6c9329dcbae9f77aab748709791dcd421622b0d,True,False,https://www.coursehero.com/file/212293755/Homework-7solutionspdf/,Homework 7(solutions).pdf,0,,,100000852029357,SuperHumanLarkPerson613
32722396,32722396,550,550,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722396-EE550/,2505,University of Washington,1,Fall,0,2023,32722396,212293723,"EE 550: Lecture 3Michael J. Neely(mikejneely@gmail.com)University of Southern CaliforniaTuesday Jan. 17, 2023Last TimeI Nonconforming user (PS1 example)I ZigZag decodingI Slotted CSMA, CSMA/CDTodayI Student problem presentationI Ethernet exam",2023-09-18 22:38:30,34,3a2d3dd3a1e2a3f05de531bc5c0fcb18cb719e17,True,False,https://www.coursehero.com/file/212293723/lecture3-slidespdf/,lecture3-slides.pdf,0,,,100000852029357,SuperHumanLarkPerson613
32722660,32722660,503,503,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722660-EE503/,2505,University of Washington,1,Fall,0,2023,32722660,212293659,"EE 503 - Fall 2022Home Work 7Due date: Monday, Oct 24, 11:59 pm PDT(Please submit on the DEN website.)1. (8 points) Leon Garcia Book problem 4.54a-b.tion).Solution:Sy(See table 4.1 of the text book for Laplacian distribu-oo(lY]=@/_g(z)fx(z",2023-09-18 22:41:34,4,23d5562e706b60651c06312b70f5fb26f239ec2c,True,False,https://www.coursehero.com/file/212293659/Homework7-solutions2pdf/,Homework7_(solutions)2.pdf,0,,,100000852029357,SuperHumanLarkPerson613
32722660,32722660,503,503,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722660-EE503/,2505,University of Washington,1,Fall,0,2023,32722660,212293359,EE 503 - Fall 2022Chapter 6 Practice Problem Solutions1. Textbook problems 6.7Figure 12. Textbook problems 6.8aFigure 23. Textbook problems 6.12Figure 3Figure 44. Textbook problems 6.16Figure 55. Textbook problems 6.21Figure 66. Textbook ,2023-09-18 22:40:39,8,3f7bd39c47656cbc1c3bce3d0163759d464f5224,False,False,https://www.coursehero.com/file/212293359/PracticeProblemssolutionspdf/,PracticeProblems(solutions).pdf,0,,,100000852029357,SuperHumanLarkPerson613
32722660,32722660,503,503,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722660-EE503/,2505,University of Washington,1,Fall,0,2023,32722660,212293355,EE 503 - Fall 2022Chapter 7 Practice Problem Solutions1. Textbook problems 7.2Figure 12. Textbook problems 7.15Figure 23. Textbook problems 7.16Figure 34. Textbook problems 7.18Figure 45. Textbook problems 7.21Figure 56. Textbook problems 7,2023-09-18 22:40:39,6,f71f1e2f0063df4e6d851a14d837e9786dbe0ae2,False,False,https://www.coursehero.com/file/212293355/Chapter7-solutionspdf/,Chapter7 solutions.pdf,0,,,100000852029357,SuperHumanLarkPerson613
32722660,32722660,503,503,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722660-EE503/,2505,University of Washington,1,Fall,0,2023,32722660,212293292,"EE 503 - Fall 2022Home Work 8Due date: Monday, Oct 31, 11:59 pm PDT(Please submit on the DEN website.)1. (6 points) Leon-Garcia Book Problems 5.12, parts b, c and d.Solution:Figure 1: Problem 12. (12 points) Let X be the number of Web page requests",2023-09-18 22:42:07,6,3441c69b09a8dc83e3257b9cd8af58b06f2d1294,True,False,https://www.coursehero.com/file/212293292/Homework-8solutionspdf/,Homework 8(solutions).pdf,0,,,100000852029357,SuperHumanLarkPerson613
32722396,32722396,550,550,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722396-EE550/,2505,University of Washington,1,Fall,0,2023,32722396,212291422,"UNIVERSITY OF SOUTHERN CALIFORNIA, SPRING 20231EE 550: Problem Set # 1Due: Tuesday Jan 17,2023(9pm in blackboard directory)Reading: The Multi-access notes available on blackboard.Be prepared to discuss your work on the simulation problem and the",2023-09-18 22:38:53,3,c82d4cca732496697a0499faf9e6fe16eca26a9d,False,False,https://www.coursehero.com/file/212291422/ps1-EE550-Spring2023pdf/,ps1-EE550-Spring2023.pdf,0,,,100000852029357,SuperHumanLarkPerson613
32722396,32722396,550,550,EE,4251,0,NoProfessor,0,NoProfessor,0,0,,https://www.coursehero.com/sitemap/schools/2505-University-of-Washington/courses/32722396-EE550/,2505,University of Washington,1,Fall,0,2023,32722396,212290409,"UNIVERSITY OF SOUTHERN CALIFORNIA, SPRING 20231EE 550: Problem Set # 1: SolutionsI. JAIN FAIRNESS INDEXIn class we defined the Jain fairness index for nonnegative vectors x = (x1 , . . . , xn ) such that x = 0 by:Pn( i=1 xi )2F (x) = Pnn i=1 x2i",2023-09-18 22:26:06,6,3c036edff7439aaa78875e019e182e643f380614,True,False,https://www.coursehero.com/file/212290409/Problem-Set-1-Solutionspdf/,Problem_Set_1_Solutions.pdf,0,,,100000852029357,SuperHumanLarkPerson613
