course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.professor.teacher_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
363246,13632509,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,3,Spring,0,2020,13632509,59099348,"EEL 3003 Arduino Builds 5, 9, &amp; 10Notes: There are multiple parts to some questions, insert pictures as required, save as a PDF, and upload into Canvas before the duedate/time!Leave the question statements in your document, insert your answers/pictures",4/7/20 19:56,3,6f8e44351af222baca1bc0721bf531c17209a153,TRUE,FALSE,https://www.coursehero.com/file/59099348/buildReport5-9-10pdf/,buildReport5-9-10.pdf,685,,Assignment,,1.00001E+14,onlytoths,1428,0.479691877,3/5/24 10:00,
363246,11630981,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,1,Fall,0,2019,11630981,49036831,"EEL 3003 Arduino Builds 6 &amp; 7Notes: There might be multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pictures",10/22/19 21:32,3,c5cd6f385b4421d6f2375f5258735715c2c450be,TRUE,FALSE,https://www.coursehero.com/file/49036831/Rpt67docx/,Rpt6&amp;7.docx,516,homework,Assignment,Homework Help,1.00001E+14,maxkatie101,1596,0.323308271,3/5/24 10:00,
363246,11630981,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,1,Fall,0,2019,11630981,50397262,"EEL 3003 Arduino Builds 12 &amp; 15Notes: There might be multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pictur",11/14/19 14:31,3,921b3b422a53241eadf0bd5592bd75374d6f7d35,TRUE,FALSE,https://www.coursehero.com/file/50397262/Rpt1215-1pdf/,Rpt12&amp;15 (1).pdf,473,homework,Notes,Homework Help,1.00001E+14,derekro,1573,0.300699301,3/5/24 10:00,
363246,11630981,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,1,Fall,0,2019,11630981,50397267,"EEL 3003 Arduino Builds 5, 9, &amp; 10Notes: There might be multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pic",11/14/19 14:34,3,c227d1d2d6aca9bf67889305b6037f2f212159c5,TRUE,FALSE,https://www.coursehero.com/file/50397267/Rpt5910pdf/,"Rpt5,9&amp;10.pdf",361,,Notes,,1.00001E+14,derekro,1573,0.229497775,3/5/24 10:00,
363246,11630981,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,1,Fall,0,2019,11630981,73922226,"EEL 3003 Arduino Builds 11 &amp; 13Notes: There might be multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pictur",11/20/20 17:04,2,ae080959382cd225f77f63874733a15951379b43,TRUE,FALSE,https://www.coursehero.com/file/73922226/Report-11-13-pdf/,Report_11_13_.pdf,234,,Notes,,1.00001E+14,lherlong05,1201,0.194837635,3/5/24 10:00,
363246,11630981,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,1,Fall,0,2019,11630981,50397240,"EEL 3003 Arduino Builds 11 &amp; 13Notes: There might be multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pictur",11/14/19 14:32,2,d34992bb77c4ca173c2cfd09e94da00f5628cee7,TRUE,FALSE,https://www.coursehero.com/file/50397240/Rpt1113-3pdf/,Rpt11&amp;13 (3).pdf,302,homework,Notes,Homework Help,1.00001E+14,derekro,1573,0.191989828,3/5/24 10:00,
363246,3730675,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,3,Spring,1,2014,3730675,70838152,"EEL 3003 Arduino Builds 6 &amp; 7Notes: There might be multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pictures",10/18/20 15:55,3,4407fc9e6100b4d8f59664f7774beafddb2e2185,TRUE,FALSE,https://www.coursehero.com/file/70838152/Build-67-Reportdocx/,Build 6&amp;7 Report.docx,187,,Assignment,,1.00001E+14,noajennifer4,1234,0.151539708,3/5/24 10:00,
363246,13632509,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,3,Spring,0,2020,13632509,59098477,"EEL 3003 Arduino Builds 12 &amp; 15Notes: There might be multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pictur",4/7/20 19:56,3,ecaf4f2cb4b2871a99cda9c6555a64fc8bb575fd,TRUE,FALSE,https://www.coursehero.com/file/59098477/build1215pdf/,build12&amp;15.pdf,206,,Notes,,1.00001E+14,onlytoths,1428,0.144257703,3/5/24 10:00,
363246,3730675,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,3,Spring,1,2014,3730675,70838142,"EEL 3003 Arduino Builds 3 &amp; 4Notes: There are multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pictures, etc",10/18/20 15:55,5,ccc95e7b8b72366005a452e516fef73833e963dd,TRUE,FALSE,https://www.coursehero.com/file/70838142/Report-3-4-F2020-1docx/,Report 3_4 F2020 (1).docx,166,,Notes,,1.00001E+14,noajennifer4,1234,0.13452188,3/5/24 10:00,
363246,13632509,ELEMENTS ELECT ENGR,3003,EEL,9934,104564,Staff,0,Staff,104564,552,,https://www.coursehero.com/sitemap/schools/552-University-of-Florida/courses/363246-EEL3003/,552,University of Florida,3,Spring,0,2020,13632509,59099081,"EEL 3003 Arduino Builds 6 &amp; 7Notes: There might be multiple parts to some questions, insert pictures as required, save as a PDF, and upload intoCanvas before the due date/time!Leave the question statements in your document, insert your answers/pictures",4/7/20 19:56,3,768b39eb776263f6e2bec1b1c6df863d5cbb1f73,TRUE,FALSE,https://www.coursehero.com/file/59099081/buildReport67pdf/,buildReport6&amp;7.pdf,184,,Assignment,,1.00001E+14,onlytoths,1428,0.128851541,3/5/24 10:00,
